[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
97,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,252,0.017241379,52.88888889,33,1,64.51643845,0.75,115781
98,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,238,0.056122449,125.8529412,102,1,58.85201992,0.75,256860
99,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,196,0.129807692,179.6326531,157,1,32.88013796,0.75,330970
100,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,222,0.190045249,186.8063063,162.5,1,37.91554421,0.75,380067
101,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,240,0.018181818,52.59166667,34,1,73.73823483,0.75,136264
102,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,219,0.024691358,57.96347032,40,1,67.10472115,0.75,133670
103,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,219,0.096045198,113.1324201,88,1,51.32360038,0.75,236691
104,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,225,0.088082902,134.2355556,106,1,61.77342335,0.75,275480
105,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,257,0.026086957,69.99610895,42,1,98.2792909,0.75,156968
106,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,220,0,8.645502646,5,0.909090909,26.95365765,0.75,40603
107,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,199,0.226495726,210.3819095,197,1,29.72163256,0.75,492539
108,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,247,0.060606061,57.51821862,38,1,55.95877505,0.75,142047
109,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,197,0.067357513,136.1116751,108,1,55.53024007,0.75,267141
110,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,294,0.004784689,29.73287671,13,0.996598639,101.2179989,0.75,85054
111,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,215,0.038709677,57.2,44,1,40.43137703,0.75,130144
112,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,238,0.005181347,9.486842105,4,0.390756303,167.3377161,0.75,32932
113,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,238,0.004761905,11.33175355,5,0.945378151,63.6091932,0.75,49279
114,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,175,0.237288136,205.6571429,196,1,25.6975916,0.75,442426
115,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,206,0.155555556,167.4174757,148.5,1,33.38003066,0.75,359362
116,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,199,0.238493724,196.2562814,182,1,29.58237502,0.75,458617
117,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,166,0.26119403,272.753012,271.5,1,18.71238672,0.75,599060
118,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,210,0.054054054,96.51428571,62.5,1,82.16749528,0.75,177259
119,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,227,0.011235955,37.33039648,21,1,68.22742235,0.75,87802
120,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,188,0.128571429,127.9255319,102,1,41.14270937,0.75,268629
121,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,233,0.103448276,141.6781116,119,1,42.97353207,0.75,329606
122,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,261,0.013274336,34.75,15.5,0.996168582,102.945446,0.75,92054
123,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,252,0.039800995,97.01587302,63,1,68.52355239,0.75,219419
124,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,163,0.183333333,179.8588957,153,1,39.41243757,0.75,324049
125,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.336,0,0,90,249,0.00456621,31.3699187,14,1,114.7980488,0.75,87561
126,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.405,0,0,90,198,0.06547619,82.35858586,64,1,43.64605185,0.75,196107
127,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.405,0,0,90,205,0.185950413,186.0292683,164,1,39.42100074,0.75,499690
