[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
1568,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.8,0,0.1,0,-1.204,0,0,0,90,40,0.644670051,264.35,249,1,32.83284108,0.8,264825
1569,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.9,0,0.1,0,-1.204,0,0,0,90,0,0.740112994,0,0,0,0,0.9,269325
1570,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,1,0,0.1,0,-1.204,0,0,0,90,0,0.745308311,0,0,0,0,1,240621
1571,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,-1.609,0,0,0,90,23,0.612048193,403.6956522,406,1,5.330621237,0.1,559551
1572,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.2,0,0.1,0,-1.609,0,0,0,90,214,0.226086957,125.1962617,90.5,1,64.27353551,0.2,190956
1573,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.3,0,0.1,0,-1.609,0,0,0,90,54,0.634146341,385.462963,401.5,1,7.593976586,0.3,417127
1574,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.4,0,0.1,0,-1.609,0,0,0,90,0,0.738336714,0,0,0,0,0.4,587843
1575,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.5,0,0.1,0,-1.609,0,0,0,90,20,0.694300518,405.3,424,1,4.654927474,0.5,400627
1576,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.6,0,0.1,0,-1.609,0,0,0,90,0,0.805232558,0,0,0,0,0.6,462533
1577,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.7,0,0.1,0,-1.609,0,0,0,90,236,0.014851485,13.53932584,4,0.516949153,158.8102037,0.7,26880
